study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
T-shirt,0,0,0,2.046875,1.6052302,,,,,,,,,,,,0,0,0,7,,,,,0.0529444,,0.0163137,0.0529444,0.0529444,1.6376559,2.046875,1.6052302,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
cushion,1,1,0,1.958333333,1.0601274,,,,,,,,,,,,0,1,1,1,,,,,1.6556662,,1.6453905,1.6556662,1.6556662,2.7208512,1.958333333,1.0601274,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
board,2,2,0,1.958333333,0.5758493,,,,,,,,,,,,0,2,2,4,,,,,2.7415828,,2.7300913,2.7415828,2.7415828,3.3209544,1.958333333,0.5758493,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
Police ,3,3,0,1.958333333,0.5749913,,,,,,,,,,,,0,3,3,12,,,,,3.3413329,,3.3302784,3.3413329,3.3413329,3.9207038,1.958333333,0.5749913,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
Pastry,4,4,0,1.958333333,0.5440393,,,,,,,,,,,,0,4,4,9,,,,,3.9386321,,3.9271716,3.9386321,3.9386321,4.487093,1.958333333,0.5440393,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
book,5,5,0,1.958333333,0.5789414,,,,,,,,,,,,0,5,5,0,,,,,4.5031149,,4.4919353,4.5031149,4.5031149,5.086996,1.958333333,0.5789414,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
Case,6,6,0,1.958333333,0.5792583,,,,,,,,,,,,0,6,6,10,,,,,5.1042598,,5.0916451,5.1042598,5.1042598,5.6867814,1.958333333,0.5792583,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
Poster,7,7,0,1.958333333,0.6129289,,,,,,,,,,,,0,7,7,14,,,,,5.703004,,5.6910199,5.703004,5.703004,6.3201845,1.958333333,0.6129289,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
Keys,8,8,0,1.958333333,0.6090826,,,,,,,,,,,,0,8,8,13,,,,,6.3420982,,6.3285977,6.3420982,6.3420982,6.9535854,1.958333333,0.6090826,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
mouse,9,9,0,1.958333333,0.6144155,,,,,,,,,,,,0,9,9,8,,,,,6.9688,,6.9570706,6.9688,6.9688,7.5870531,1.958333333,0.6144155,,,,,,,,,,,,,,,785502,1,2024-11-06_22h00.14.476,Word priming,2024.2.4,60.10496731,2024-11-06 22h00.20.384611 +0530
